Start,Ende,Pumpe,Zustand,Soll-Drehzahl,Ist-Drehzahl
2022-03-31 14:19:06,2022-03-31 14:29:01,PL23500,Normalbetrieb,3000.0,2999.81689453125
2022-03-31 14:29:02,2022-03-31 14:39:01,PL23500,Blockade,3000.0,2999.81689453125
2022-03-31 14:39:06,2022-03-31 14:49:01,PL23500,Idle,0.0,0.0
2022-03-31 14:49:07,2022-03-31 14:59:02,PL23500,Normalbetrieb,3000.0,2999.81689453125
2022-03-31 14:59:03,2022-03-31 15:09:01,PL23500,Blockade,3000.0,2999.81689453125
2022-03-31 15:09:07,2022-03-31 15:19:02,PL23500,Idle,0.0,0.0
2022-03-31 15:19:07,2022-03-31 15:29:02,PL23500,Normalbetrieb,3000.0,2999.81689453125
2022-03-31 15:29:03,2022-03-31 15:39:02,PL23500,Blockade,3000.0,2999.81689453125
2022-03-31 15:39:08,2022-03-31 15:49:03,PL23500,Idle,0.0,0.0
2022-03-31 15:49:08,2022-03-31 15:59:03,PL23500,Normalbetrieb,3000.0,2999.81689453125
2022-03-31 15:59:04,2022-03-31 16:09:03,PL23500,Blockade,3000.0,2999.81689453125
2022-03-31 16:09:08,2022-03-31 16:19:03,PL23500,Idle,0.0,0.0
2022-03-31 16:19:09,2022-03-31 16:29:04,PL23500,Normalbetrieb,3000.0,2999.81689453125
2022-03-31 16:29:05,2022-03-31 16:39:04,PL23500,Blockade,3000.0,2999.81689453125
2022-03-31 16:39:09,2022-03-31 16:49:04,PL23500,Idle,0.0,0.0
2022-03-31 16:49:10,2022-03-31 16:59:05,PL23500,Normalbetrieb,3000.0,2999.81689453125
2022-03-31 16:59:06,2022-03-31 17:09:05,PL23500,Blockade,3000.0,2999.81689453125
2022-03-31 17:09:10,2022-03-31 17:19:05,PL23500,Idle,0.0,0.0
2022-03-31 17:19:11,2022-03-31 17:29:06,PL23500,Normalbetrieb,3000.0,2999.81689453125
2022-03-31 17:29:07,2022-03-31 17:39:05,PL23500,Blockade,3000.0,2999.81689453125
2022-03-31 17:39:11,2022-03-31 17:49:07,PL23500,Idle,0.0,0.0
2022-03-31 17:49:12,2022-03-31 17:59:23,PL23500,Normalbetrieb,3000.0,2999.81689453125
